ID,Zvalue
4886,7.369590855
528,7.366340268
255426,7.363984734
100129583,7.362771553
3269,7.360938158
79746,7.352773672
8445,7.336607703
121053,7.335578723
256281,7.332552335
23531,7.320384617
25818,7.320102813
27253,7.312943988
389941,7.311624078
79016,7.298310995
63982,7.29497666
8460,7.275265085
10923,7.272590155
1176,7.265708361
286133,7.264710105
3755,7.238727937
3738,7.234507326
84063,7.226877172
84332,7.226310014
55282,7.184019879
57687,7.176840717
8448,7.157212646
5172,7.154479322
923,7.151934146
2790,7.14938314
10295,7.143193453
57801,7.142035859
132112,7.139815086
144406,7.137124382
9362,7.11949462
57630,7.089711607
55959,7.082995303
5212,7.0741894
112812,7.071285265
284129,7.04211281
80258,7.040939549
5595,7.032774626
11151,7.020912986
11188,7.009359828
1592,7.001423275
55897,7.000942434
374875,6.998528544
51668,6.982899203
817,6.969516406
8444,6.968502915
285601,6.952791189
2224,6.942297917
5987,6.938487019
5125,6.928495842
51693,6.923548552
54733,6.923426177
55277,6.92267013
116135,6.913932013
29844,6.904889437
51699,6.901287188
283209,6.896717029
92196,6.891111782
9508,6.867101062
28986,6.861432287
493,6.853638211
128414,6.851536538
71,6.843882917
10873,6.840102884
728568,6.839595108
57415,6.827548228
7295,6.827443887
10534,6.817014518
84319,6.815019374
10907,6.802067301
4257,6.801740995
3275,6.795320292
4794,6.793547847
728113,6.791682737
10160,6.78591838
85236,6.778367944
6441,6.749826909
5409,6.747080416
1767,6.737871975
126374,6.737051138
375057,6.723531037
2890,6.703533897
5655,6.702508526
60626,6.699149493
5912,6.691889445
83442,6.684141771
8704,6.683929852
6503,6.683106378
3281,6.682186566
5372,6.661620982
404217,6.660064654
128434,6.648358786
4082,6.641538516
51138,6.63053949
1272,6.624961324
7345,6.623562587
155382,6.615662213
9609,6.610863849
5621,6.604869739
65992,6.599860334
51253,6.597931197
260434,6.57548241
55615,6.564311744
124936,6.559804793
55312,6.554698877
8013,6.542367386
2911,6.540239647
127933,6.537950293
8933,6.51708755
8635,6.51698301
284184,6.512599797
51309,6.51004786
1032,6.508747917
22948,6.506057701
6612,6.497148058
8682,6.493754753
7769,6.493586853
10005,6.491298684
127602,6.479582513
27341,6.476278825
91695,6.465096761
55577,6.463476883
26256,6.461735805
83982,6.460772301
716,6.450772692
27044,6.438753704
55509,6.432027941
51155,6.426713337
25854,6.417436871
5792,6.414995857
967,6.411929657
2742,6.406394575
58189,6.404082358
400410,6.397296784
119032,6.394514254
8001,6.383657358
57495,6.370562589
341359,6.362503721
6863,6.357085911
9589,6.348294281
54536,6.34659037
85409,6.346290766
3939,6.346122847
66005,6.345239862
5695,6.341617512
83546,6.339751184
219348,6.325681052
9939,6.321491534
10518,6.316554359
440400,6.315237027
11022,6.312882202
4199,6.309301116
221424,6.306635208
92002,6.298805908
401494,6.294625003
220202,6.287806743
147,6.27249923
55907,6.269322411
5000,6.258250764
283143,6.25020923
10870,6.241734713
284485,6.239513207
340719,6.22911951
221491,6.22370557
3479,6.194331008
7409,6.19307553
330,6.186546573
158293,6.18393033
3301,6.178473025
1390,6.177413061
402055,6.170826563
84259,6.161697867
51678,6.160868194
70,6.15045267
9734,6.13769478
25789,6.12175568
84870,6.121688898
58495,6.114315296
1948,6.113312254
51491,6.09708771
132204,6.094928364
92597,6.091149872
435,6.080494262
389073,6.074473976
10519,6.049298806
1536,6.048931177
57414,6.039084453
115207,6.031751591
10505,6.029869901
7167,6.028035826
6742,6.019580893
23251,6.016865387
6664,6.00666456
91663,5.995709215
100170841,5.991535434
885,5.991478467
